No.,Date,PM2.5,PM10,O3,SO2,NO2,CO,AQI,Quality,MajorPollutant
1,4/1/15,77,52,36,17,83,23,83,2,NO2
2,3/31/15,93,65,97,16,74,25,97,2,O3
3,3/30/15,55,38,60,10,45,18,60,2,O3
4,3/29/15,117,71,110,20,75,25,117,3,PM2.5
5,3/28/15,105,71,88,15,92,23,105,3,PM2.5
6,3/27/15,38,31,55,10,58,15,58,2,NO2
7,3/26/15,33,41,71,11,37,13,71,2,O3
8,3/25/15,28,39,59,11,42,13,59,2,O3
9,3/24/15,20,41,52,12,44,13,52,2,O3
10,3/23/15,33,62,41,13,52,15,62,2,PM10
11,3/22/15,113,91,60,22,83,25,113,3,PM2.5
12,3/21/15,148,86,50,26,105,35,148,3,PM2.5
13,3/20/15,87,58,47,12,75,20,87,2,PM2.5
14,3/19/15,107,66,42,21,73,28,107,3,PM2.5
15,3/18/15,80,52,24,14,72,30,80,2,PM2.5
16,3/17/15,52,38,44,11,57,23,57,2,NO2
17,3/16/15,46,24,43,9,52,20,52,2,NO2
18,3/15/15,73,48,58,11,44,23,73,2,PM2.5
19,3/14/15,134,77,58,18,80,33,134,3,PM2.5
20,3/13/15,128,89,56,25,107,33,128,3,PM2.5
21,3/12/15,98,71,90,24,83,25,98,2,PM2.5
22,3/11/15,63,56,44,19,82,20,82,2,NO2
23,3/10/15,29,45,44,12,35,18,45,1,-
24,3/9/15,54,45,42,11,38,20,54,2,PM2.5
25,3/8/15,35,27,32,11,63,20,63,2,NO2
26,3/7/15,42,35,50,14,50,18,50,1,-
27,3/6/15,35,36,40,13,45,18,45,1,-
28,3/5/15,22,33,38,11,35,13,38,1,-
29,3/4/15,29,49,41,13,30,18,49,1,-
30,3/3/15,107,64,40,17,50,25,107,3,PM2.5
31,3/2/15,142,78,75,21,64,28,142,3,PM2.5
32,3/1/15,109,70,44,21,53,25,109,3,PM2.5
33,2/28/15,20,18,36,9,39,13,39,1,-
34,2/27/15,28,33,44,10,35,15,44,1,-
35,2/26/15,69,59,43,11,38,20,69,2,PM2.5
36,2/25/15,33,30,40,10,54,18,54,2,NO2
37,2/24/15,60,79,48,12,32,20,79,2,PM10
38,2/23/15,70,92,48,16,30,18,92,2,PM10
39,2/22/15,148,91,33,15,37,30,148,3,PM2.5
40,2/21/15,80,52,26,11,35,25,80,2,PM2.5
41,2/20/15,22,25,45,11,18,13,45,1,-
42,2/19/15,28,31,47,14,23,13,47,1,-
43,2/18/15,92,80,55,20,50,25,92,2,PM2.5
44,2/17/15,152,109,62,20,54,33,152,4,PM2.5
45,2/16/15,149,80,33,17,58,38,149,3,PM2.5
46,2/15/15,80,62,35,14,68,25,80,2,PM2.5
47,2/14/15,77,67,81,18,45,20,81,2,O3
48,2/13/15,64,53,65,20,63,20,65,2,O3
49,2/12/15,210,122,41,51,89,40,210,5,PM2.5
50,2/11/15,108,75,49,27,101,28,108,3,PM2.5
51,2/10/15,77,55,42,21,85,23,85,2,NO2
52,2/9/15,38,37,37,17,53,18,53,2,NO2
53,2/8/15,62,53,40,20,33,20,62,2,PM2.5
54,2/7/15,147,85,38,34,110,35,147,3,PM2.5
55,2/6/15,99,72,31,34,104,30,104,3,NO2
56,2/5/15,120,72,39,33,75,28,120,3,PM2.5
57,2/4/15,226,125,38,55,98,38,226,5,PM2.5
58,2/3/15,52,49,19,21,83,18,83,2,NO2
59,2/2/15,36,36,23,16,64,15,64,2,NO2
60,2/1/15,28,35,31,18,50,13,50,1,-
61,1/31/15,48,43,36,18,42,18,48,1,-
62,1/30/15,94,64,31,22,53,23,94,2,PM2.5
63,1/29/15,18,16,26,11,50,15,50,1,-
64,1/28/15,25,34,30,15,37,15,37,1,-
65,1/27/15,67,54,34,15,39,20,67,2,PM2.5
66,1/26/15,128,66,27,20,63,30,128,3,PM2.5
67,1/25/15,168,91,31,25,89,38,168,4,PM2.5
68,1/24/15,139,83,40,22,93,30,139,3,PM2.5
69,1/23/15,139,81,40,24,79,28,139,3,PM2.5
70,1/22/15,166,90,14,34,77,38,166,4,PM2.5
71,1/21/15,139,99,28,33,90,28,139,3,PM2.5
72,1/20/15,43,60,39,16,60,15,60,2,PM10
73,1/19/15,117,106,31,37,92,33,117,3,PM2.5
74,1/18/15,115,84,33,27,93,28,115,3,PM2.5
75,1/17/15,100,68,32,20,45,23,100,2,PM2.5
76,1/16/15,152,94,14,27,82,30,152,4,PM2.5
77,1/15/15,102,67,16,18,73,25,102,3,PM2.5
78,1/14/15,29,21,28,10,53,18,53,2,NO2
79,1/13/15,25,26,24,14,60,15,60,2,NO2
80,1/12/15,26,5,33,14,39,13,39,1,-
81,1/11/15,249,139,42,63,112,45,249,5,PM2.5
82,1/10/15,240,150,29,57,130,56,240,5,PM2.5
83,1/9/15,203,129,22,53,124,50,203,5,PM2.5
84,1/8/15,94,72,27,41,92,28,94,2,PM2.5
85,1/7/15,48,56,30,20,52,15,56,2,PM10
86,1/6/15,109,79,29,21,50,25,109,3,PM2.5
87,1/5/15,105,75,25,28,101,25,105,3,PM2.5
88,1/4/15,166,100,18,51,121,40,166,4,PM2.5
89,1/3/15,128,90,27,40,99,30,128,3,PM2.5
90,1/2/15,105,83,21,48,100,33,105,3,PM2.5
91,1/1/15,52,63,31,29,55,18,63,2,PM10
92,12/31/14,134,105,30,41,84,28,134,3,PM2.5
93,12/30/14,172,112,25,48,115,40,172,4,PM2.5
94,12/29/14,193,126,29,51,111,43,193,4,PM2.5
95,12/28/14,95,76,24,30,101,27,101,3,NO2
96,12/27/14,32,38,30,21,63,15,63,2,NO2
97,12/26/14,32,38,32,17,59,15,59,2,NO2
98,12/25/14,50,41,33,16,47,18,50,1,-
99,12/24/14,178,115,23,55,109,43,178,4,PM2.5
100,12/23/14,83,74,29,25,90,28,90,2,NO2
101,12/22/14,103,85,19,46,94,30,103,3,PM2.5
102,12/21/14,89,78,17,43,72,26,89,2,PM2.5
103,12/20/14,72,68,30,28,68,23,72,2,PM2.5
104,12/19/14,94,81,7,32,105,29,105,3,NO2
105,12/18/14,90,85,22,30,100,34,100,2,NO2
106,12/17/14,63,80,24,38,77,25,80,2,PM10
107,12/16/14,100,107,23,41,69,25,107,3,PM10
108,12/15/14,112,90,12,39,104,32,112,3,PM2.5
109,12/14/14,110,88,24,39,103,34,110,3,PM2.5
110,12/13/14,97,90,22,50,95,33,97,2,PM2.5
111,12/12/14,99,96,19,43,84,27,99,2,PM2.5
112,12/11/14,104,87,26,22,57,23,104,3,PM2.5
113,12/10/14,78,65,8,22,95,24,95,2,NO2
114,12/9/14,43,44,32,15,63,13,63,2,NO2
115,12/8/14,130,88,35,35,77,26,130,3,PM2.5
116,12/7/14,105,86,20,35,107,29,107,3,NO2
117,12/6/14,110,85,23,49,104,30,110,3,PM2.5
118,12/5/14,100,86,26,48,92,28,100,2,PM2.5
119,12/4/14,113,89,22,51,89,31,113,3,PM2.5
120,12/3/14,77,68,12,29,94,26,94,2,NO2
121,12/2/14,54,67,25,30,75,23,75,2,NO2
122,12/1/14,70,86,30,25,45,22,86,2,PM10
123,11/30/14,55,37,24,13,50,29,55,2,PM2.5
124,11/29/14,58,49,33,13,59,23,59,2,NO2
