NO.,Date,PM2.5(ug/m3),PM10(ug/m3),O3(ug/m3),SO2(ug/m3),NO2(ug/m3),CO(mg/m3),Season
1,4/1/15,56,54,72,17,66,0.9,Spring
2,3/31/15,69,79,156,16,59,1,Spring
3,3/30/15,39,38,111,10,36,0.7,Spring
4,3/29/15,88,91,170,20,60,1,Spring
5,3/28/15,79,91,145,15,73,0.9,Spring
6,3/27/15,26,31,106,10,46,0.6,Spring
7,3/26/15,23,41,125,11,29,0.5,Spring
8,3/25/15,19,39,110,11,33,0.5,Spring
9,3/24/15,14,41,102,12,35,0.5,Spring
10,3/23/15,23,74,82,13,41,0.6,Spring
11,3/22/15,85,132,111,22,66,1,Spring
12,3/21/15,113,121,99,26,90,1.4,Spring
13,3/20/15,64,65,94,12,60,0.8,Spring
14,3/19/15,80,81,84,21,58,1.1,Spring
15,3/18/15,59,54,47,14,57,1.2,Spring
16,3/17/15,36,38,88,11,45,0.9,Spring
17,3/16/15,32,24,85,9,41,0.8,Spring
18,3/15/15,53,48,109,11,35,0.9,Spring
19,3/14/15,102,103,109,18,64,1.3,Spring
20,3/13/15,97,128,107,25,94,1.3,Spring
21,3/12/15,73,91,147,24,66,1,Spring
22,3/11/15,45,62,87,19,65,0.8,Spring
23,3/10/15,20,45,88,12,28,0.7,Spring
24,3/9/15,38,45,84,11,30,0.8,Spring
25,3/8/15,24,27,63,11,50,0.8,Spring
26,3/7/15,29,35,99,14,40,0.7,Spring
27,3/6/15,24,36,80,13,36,0.7,Spring
28,3/5/15,15,33,76,11,28,0.5,Spring
29,3/4/15,20,49,82,13,24,0.7,Spring
30,3/3/15,80,78,79,17,40,1,Spring
31,3/2/15,108,106,129,21,51,1.1,Spring
32,3/1/15,82,89,87,21,42,1,Spring
33,2/28/15,14,18,71,9,31,0.5,Winter
34,2/27/15,19,33,87,10,28,0.6,Winter
35,2/26/15,50,67,85,11,30,0.8,Winter
36,2/25/15,23,30,79,10,43,0.7,Winter
37,2/24/15,43,108,95,12,25,0.8,Winter
38,2/23/15,51,133,95,16,24,0.7,Winter
39,2/22/15,113,131,65,15,29,1.2,Winter
40,2/21/15,59,53,51,11,28,1,Winter
41,2/20/15,15,25,89,11,14,0.5,Winter
42,2/19/15,19,31,94,14,18,0.5,Winter
43,2/18/15,68,110,105,20,40,1,Winter
44,2/17/15,116,168,114,20,43,1.3,Winter
45,2/16/15,114,109,65,17,46,1.5,Winter
46,2/15/15,59,73,70,14,54,1,Winter
47,2/14/15,56,83,137,18,36,0.8,Winter
48,2/13/15,46,55,117,20,50,0.8,Winter
49,2/12/15,160,194,82,51,71,1.6,Winter
50,2/11/15,81,99,98,27,81,1.1,Winter
51,2/10/15,56,60,83,21,68,0.9,Winter
52,2/9/15,26,37,73,17,42,0.7,Winter
53,2/8/15,44,56,80,20,26,0.8,Winter
54,2/7/15,112,119,75,34,100,1.4,Winter
55,2/6/15,74,93,62,34,88,1.2,Winter
56,2/5/15,91,93,77,33,60,1.1,Winter
57,2/4/15,176,199,76,60,78,1.5,Winter
58,2/3/15,36,49,37,21,66,0.7,Winter
59,2/2/15,25,36,46,16,51,0.6,Winter
60,2/1/15,19,35,61,18,40,0.5,Winter
61,1/31/15,33,43,71,18,33,0.7,Winter
62,1/30/15,70,78,61,22,42,0.9,Winter
63,1/29/15,12,16,52,11,40,0.6,Winter
64,1/28/15,17,34,59,15,29,0.6,Winter
65,1/27/15,48,57,68,15,31,0.8,Winter
66,1/26/15,97,82,54,20,50,1.2,Winter
67,1/25/15,127,132,61,25,71,1.5,Winter
68,1/24/15,106,115,79,22,74,1.2,Winter
69,1/23/15,106,111,79,24,63,1.1,Winter
70,1/22/15,126,130,27,34,61,1.5,Winter
71,1/21/15,106,147,55,33,72,1.1,Winter
72,1/20/15,30,69,77,16,48,0.6,Winter
73,1/19/15,88,162,62,37,73,1.3,Winter
74,1/18/15,87,117,65,27,74,1.1,Winter
75,1/17/15,75,85,63,20,36,0.9,Winter
76,1/16/15,116,138,28,27,65,1.2,Winter
77,1/15/15,76,83,31,18,58,1,Winter
78,1/14/15,20,21,55,10,42,0.7,Winter
79,1/13/15,17,26,47,14,48,0.6,Winter
80,1/12/15,18,10,65,14,31,0.5,Winter
81,1/11/15,199,228,84,75,104,1.8,Winter
82,1/10/15,190,250,57,64,139,2.2,Winter
83,1/9/15,153,207,43,56,128,2,Winter
84,1/8/15,70,94,54,41,73,1.1,Winter
85,1/7/15,33,61,59,20,41,0.6,Winter
86,1/6/15,82,107,58,21,40,1,Winter
87,1/5/15,79,99,50,28,82,1,Winter
88,1/4/15,126,150,35,51,121,1.6,Winter
89,1/3/15,97,129,53,40,79,1.2,Winter
90,1/2/15,79,115,41,48,80,1.3,Winter
91,1/1/15,36,75,61,29,44,0.7,Winter
92,12/31/14,102,159,60,41,67,1.117,Winter
93,12/30/14,130,174,49,48,109,1.581,Winter
94,12/29/14,145,201,57,51,102,1.698,Winter
95,12/28/14,71,102,48,30,81,1.072,Winter
96,12/27/14,22,38,59,21,50,0.586,Winter
97,12/26/14,22,38,63,17,47,0.589,Winter
98,12/25/14,35,41,66,16,37,0.689,Winter
99,12/24/14,134,179,45,59,97,1.697,Winter
100,12/23/14,61,98,58,25,72,1.085,Winter
101,12/22/14,77,120,38,46,75,1.194,Winter
102,12/21/14,66,105,34,43,57,1.03,Winter
103,12/20/14,52,86,59,28,54,0.885,Winter
104,12/19/14,70,111,14,32,90,1.139,Winter
105,12/18/14,67,120,43,30,80,1.36,Winter
106,12/17/14,45,110,47,38,61,0.998,Winter
107,12/16/14,75,164,45,41,55,0.997,Winter
108,12/15/14,84,129,24,39,88,1.269,Winter
109,12/14/14,83,126,47,39,85,1.34,Winter
110,12/13/14,72,129,44,50,76,1.3,Winter
111,12/12/14,74,142,38,43,67,1.074,Winter
112,12/11/14,78,123,51,22,45,0.905,Winter
113,12/10/14,57,80,16,22,76,0.924,Winter
114,12/9/14,30,44,63,15,50,0.497,Winter
115,12/8/14,99,125,69,35,61,1.011,Winter
116,12/7/14,79,121,39,35,94,1.127,Winter
117,12/6/14,83,120,46,49,87,1.186,Winter
118,12/5/14,75,121,51,48,73,1.095,Winter
119,12/4/14,85,127,44,52,71,1.233,Winter
120,12/3/14,56,85,24,29,75,1.01,Winter
121,12/2/14,38,84,49,30,60,0.903,Winter
122,12/1/14,51,122,60,25,36,0.848,Winter
123,11/30/14,39,37,48,13,40,1.137,Autumn
124,11/29/14,41,49,66,13,47,0.886,Autumn
125,11/28/14,60,66,41,16,51,1.194,Autumn
126,11/27/14,21,46,84,11,50,0.59,Autumn
127,11/26/14,43,71,66,17,59,0.78,Autumn
128,11/25/14,27,50,72,12,38,0.594,Autumn
129,11/24/14,28,31,59,11,41,0.583,Autumn
130,11/23/14,35,38,70,11,42,0.509,Autumn
131,11/22/14,70,73,47,16,72,0.849,Autumn
132,11/21/14,37,55,88,13,56,0.61,Autumn
133,11/20/14,31,50,90,12,55,0.522,Autumn
134,11/19/14,34,44,90,14,58,0.588,Autumn
135,11/18/14,60,74,95,22,56,0.838,Autumn
136,11/17/14,117,126,97,29,51,0.991,Autumn
137,11/16/14,67,69,54,14,58,0.816,Autumn
138,11/15/14,36,64,96,14,55,0.645,Autumn
139,11/14/14,46,85,84,25,83,0.805,Autumn
140,11/13/14,30,74,73,21,51,0.601,Autumn
141,11/12/14,130,155,70,35,65,1.302,Autumn
142,11/11/14,58,86,89,21,78,0.799,Autumn
143,11/10/14,61,74,105,20,41,0.839,Autumn
144,11/9/14,36,52,102,17,32,0.661,Autumn
145,11/8/14,24,37,67,12,37,0.558,Autumn
146,11/7/14,39,51,95,14,33,0.583,Autumn
147,11/6/14,132,156,145,26,66,1.146,Autumn
148,11/5/14,33,55,116,13,55,0.633,Autumn
149,11/4/14,39,66,108,15,67,0.77,Autumn
150,11/3/14,32,65,91,21,50,0.691,Autumn
151,11/2/14,57,69,89,19,41,0.829,Autumn
152,11/1/14,69,69,30,19,55,1.159,Autumn
153,10/31/14,57,53,37,14,75,1.26,Autumn
154,10/30/14,48,64,50,10,64,0.853,Autumn
155,10/29/14,25,56,72,9,57,0.638,Autumn
156,10/28/14,19,55,102,9,33,0.526,Autumn
157,10/27/14,43,73,96,11,34,0.633,Autumn
158,10/26/14,56,78,139,16,56,0.735,Autumn
159,10/25/14,27,49,131,11,39,0.546,Autumn
160,10/24/14,29,53,128,11,44,0.566,Autumn
161,10/23/14,39,64,113,11,53,0.686,Autumn
162,10/22/14,44,68,109,11,34,0.703,Autumn
163,10/21/14,70,99,75,19,53,0.997,Autumn
164,10/20/14,56,93,171,16,53,0.802,Autumn
165,10/19/14,22,48,116,9,26,0.558,Autumn
166,10/18/14,16,39,103,9,32,0.561,Autumn
167,10/17/14,20,52,100,12,45,0.586,Autumn
168,10/16/14,103,142,142,30,84,1.145,Autumn
169,10/15/14,97,140,148,43,92,1.203,Autumn
170,10/14/14,41,88,108,28,51,0.852,Autumn
171,10/13/14,29,88,85,15,28,0.619,Autumn
172,10/12/14,30,70,124,11,16,0.596,Autumn
173,10/11/14,32,55,106,11,23,0.63,Autumn
174,10/10/14,30,51,140,13,29,0.648,Autumn
175,10/9/14,24,43,126,12,38,0.644,Autumn
176,10/8/14,22,43,115,12,37,0.659,Autumn
177,10/7/14,28,49,129,12,35,0.725,Autumn
178,10/6/14,36,59,126,13,24,0.79,Autumn
179,10/5/14,29,60,126,13,24,0.748,Autumn
180,10/4/14,16,41,123,12,20,0.549,Autumn
181,10/3/14,48,61,135,15,24,0.761,Autumn
182,10/2/14,54,88,184,22,45,0.954,Autumn
183,10/1/14,20,46,105,13,30,0.537,Autumn
184,9/30/14,19,33,104,9,22,0.623,Autumn
185,9/29/14,56,81,111,17,41,0.922,Autumn
186,9/28/14,20,36,119,9,23,0.583,Autumn
187,9/27/14,38,47,125,10,30,0.694,Autumn
188,9/26/14,56,69,148,11,37,0.787,Autumn
189,9/25/14,47,69,151,13,50,0.763,Autumn
190,9/24/14,26,36,69,11,39,0.723,Autumn
191,9/23/14,14,16,36,9,26,0.653,Autumn
192,9/22/14,15,34,104,9,17,0.461,Autumn
