No.,Date,PM2.5,PM10,O3,SO2,NO2,CO,AQI,Quality,MajorPollutant
1,2015-04-01,77,52,36,17,83,23,83,2,NO2
2,2015-03-31,93,65,97,16,74,27,97,2,O3
3,2015-03-30,55,38,60,10,45,18,60,2,O3
4,2015-03-29,117,71,110,20,75,27,117,3,PM2.5
5,2015-03-28,105,71,88,15,92,24,105,3,PM2.5
6,2015-03-27,38,31,55,10,58,16,58,2,NO2
7,2015-03-26,33,41,71,11,37,14,71,2,O3
8,2015-03-25,28,39,59,11,42,14,59,2,O3
9,2015-03-24,20,41,53,12,44,13,53,2,O3
10,2015-03-23,33,62,41,13,52,15,62,2,PM10
11,2015-03-22,113,91,60,22,83,26,113,3,PM2.5
12,2015-03-21,148,86,50,26,105,36,148,3,PM2.5
13,2015-03-20,87,58,47,12,75,20,87,2,PM2.5
14,2015-03-19,107,66,42,21,73,28,107,3,PM2.5
15,2015-03-18,80,52,24,14,72,31,80,2,PM2.5
16,2015-03-17,52,38,44,11,57,24,57,2,NO2
17,2015-03-16,46,24,43,9,52,21,52,2,NO2
18,2015-03-15,73,48,58,11,44,22,73,2,PM2.5
19,2015-03-14,134,77,58,17,80,32,134,3,PM2.5
20,2015-03-13,128,89,56,25,107,33,128,3,PM2.5
21,2015-03-12,98,71,90,25,83,26,98,2,PM2.5
22,2015-03-11,63,56,44,19,82,21,82,2,NO2
23,2015-03-10,29,45,44,12,35,17,45,1,-
24,2015-03-09,54,45,42,11,37,20,54,2,PM2.5
25,2015-03-08,35,27,32,11,63,19,63,2,NO2
26,2015-03-07,42,35,50,14,50,17,50,1,-
27,2015-03-06,35,36,40,13,45,17,45,1,-
28,2015-03-05,22,33,38,11,35,14,38,1,-
29,2015-03-04,29,49,41,13,30,18,49,1,-
30,2015-03-03,107,64,40,17,50,25,107,3,PM2.5
31,2015-03-02,142,78,75,21,64,27,142,3,PM2.5
32,2015-03-01,109,70,44,21,53,25,109,3,PM2.5
33,2015-02-28,20,18,36,9,39,14,39,1,-
34,2015-02-27,28,33,44,10,35,15,44,1,-
35,2015-02-26,69,59,43,11,38,21,69,2,PM2.5
36,2015-02-25,33,30,39,10,54,19,54,2,NO2
37,2015-02-24,60,79,48,12,32,20,79,2,PM10
38,2015-02-23,70,92,48,16,30,19,92,2,PM10
39,2015-02-22,148,91,33,15,37,30,148,3,PM2.5
40,2015-02-21,80,52,26,11,35,25,80,2,PM2.5
41,2015-02-20,22,25,45,11,18,13,45,1,-
42,2015-02-19,28,31,47,14,23,12,47,1,-
43,2015-02-18,92,80,55,20,50,25,92,2,PM2.5
44,2015-02-17,152,109,62,20,54,33,152,4,PM2.5
45,2015-02-16,149,80,33,17,58,37,149,3,PM2.5
46,2015-02-15,80,62,35,14,68,25,80,2,PM2.5
47,2015-02-14,77,67,81,18,45,20,81,2,O3
48,2015-02-13,64,53,65,20,63,20,65,2,O3
49,2015-02-12,210,122,41,51,89,40,210,5,PM2.5
50,2015-02-11,108,75,49,27,101,29,108,3,PM2.5
